,FirstName,LastName,Gender,EmailAddress,revenue
2761,BYRON,SERRANO,M,byron10@adventure-works.com,64.24
3689,CHRISTIAN,MARTINEZ,M,christian53@adventure-works.com,64.1281
13494,NATALIE,BAKER,F,natalie59@adventure-works.com,63.97
4471,DALTON,TURNER,M,dalton39@adventure-works.com,63.97
4977,DESTINY,BAILEY,F,destiny32@adventure-works.com,63.97
9005,JILLIAN,MEHTA,F,jillian14@adventure-works.com,63.97
10029,KARA,DENG,F,kara2@adventure-works.com,63.97
54,ABBY,CHANDRA,F,abby1@adventure-works.com,63.97
14216,PATRICK,PETERSON,M,patrick11@adventure-works.com,63.97
9214,JOHNATHAN,GONZALEZ,M,johnathan17@adventure-works.com,63.97
13543,NATALIE,NELSON,F,natalie52@adventure-works.com,63.97
2818,CALEB,PATTERSON,M,caleb7@adventure-works.com,63.97
17338,TYRONE,ALONSO,M,tyrone8@adventure-works.com,63.97
6459,FRANKLIN,SHAN,M,franklin28@adventure-works.com,63.97
9606,JOSHUA,DAVIS,M,joshua7@adventure-works.com,63.97
13966,NUAN,MA,M,nuan2@adventure-works.com,63.97
13714,NEIL,SANZ,M,neil19@adventure-works.com,63.97
1857,AUTUMN,SUN,F,autumn12@adventure-works.com,63.97
17953,ZACHARY,CLARK,M,zachary50@adventure-works.com,63.97
14618,RAQUEL,ROMERO,F,raquel6@adventure-works.com,63.97
1934,BARBARA,SHARMA,F,barbara41@adventure-works.com,63.97
3520,CHASE,MURPHY,M,chase15@adventure-works.com,63.97
7742,JACK,EVANS,M,jack35@adventure-works.com,63.97
9109,JODI,JAI,F,jodi11@adventure-works.com,63.97
4926,DEREK,PAL,M,derek11@adventure-works.com,63.97
12044,MARC,JIMENEZ,M,marc9@adventure-works.com,63.97
4484,DAMIEN,BECK,M,damien35@adventure-works.com,63.97
17986,ZACHARY,SMITH,M,zachary40@adventure-works.com,63.97
16257,STANLEY,RANA,M,stanley12@adventure-works.com,63.97
12395,MARSHALL,GAO,M,marshall14@adventure-works.com,63.97
9724,JULIA,HALL,F,julia45@adventure-works.com,63.97
9281,JON,SHAN,M,jon6@adventure-works.com,63.97
5214,DOMINIQUE,GONZALEZ,F,dominique16@adventure-works.com,63.97
2454,BRIAN,KELLY,M,brian14@adventure-works.com,63.97
13242,MISTY,LAL,F,misty10@adventure-works.com,63.97
3238,CASEY,GOMEZ,M,casey24@adventure-works.com,63.97
426,ALEX,GREEN,M,alex45@adventure-works.com,63.97
12861,MELISSA,HAYES,F,melissa18@adventure-works.com,63.97
17761,WILLIE,YE,M,willie7@adventure-works.com,63.97
5402,DYLAN,SHAN,M,dylan30@adventure-works.com,63.97
9408,JORDAN,FLORES,M,jordan9@adventure-works.com,63.97
10435,KAYLA,THOMAS,F,kayla11@adventure-works.com,63.97
16923,THOMAS,CAMPBELL,M,thomas44@adventure-works.com,63.97
15928,SHANE,MARTINEZ,M,shane20@adventure-works.com,63.97
8806,JERRY,XIE,M,jerry3@adventure-works.com,63.97
10064,KAREN,WANG,F,karen11@adventure-works.com,63.94
16322,STEPHANIE,MORRIS,F,stephanie5@adventure-works.com,63.94
10357,KATIE,CHAPMAN,F,katie18@adventure-works.com,63.94
12094,MARCUS,CARTER,M,marcus38@adventure-works.com,63.94
9659,JUAN,BELL,M,juan24@adventure-works.com,63.94
10397,KAYLA,ANDERSON,F,kayla10@adventure-works.com,63.94
13619,NATHAN,GARCIA,M,nathan74@adventure-works.com,63.93000000000001
5102,DEVIN,RICHARDSON,M,devin77@adventure-works.com,63.93000000000001
1475,ANTHONY,MILLER,M,anthony15@adventure-works.com,63.8
5926,EMMANUEL,SURI,M,emmanuel0@adventure-works.com,63.624199999999995
16711,TASHA,NARA,F,tasha17@adventure-works.com,63.6042
4861,DEBORAH,PAL,F,deborah16@adventure-works.com,63.6042
7881,JACOB,DAVIS,M,jacob5@adventure-works.com,63.6042
7300,HENRY,LOPEZ,M,henry18@adventure-works.com,63.6042
13838,NICOLE,MARTIN,F,nicole15@adventure-works.com,63.6042
5643,EDWARD,TURNER,M,edward16@adventure-works.com,63.6042
9947,KAITLYN,BROWN,F,kaitlyn27@adventure-works.com,63.6042
11911,MADISON,BROWN,F,madison4@adventure-works.com,63.6042
5881,EMMA,PERRY,F,emma54@adventure-works.com,63.6042
6017,ERICK,SUBRAM,M,erick12@adventure-works.com,63.6042
7180,HANNAH,GRIFFIN,F,hannah42@adventure-works.com,63.6042
9198,JOHN,LEWIS,M,john55@adventure-works.com,63.6042
512,ALEXANDRA,CLARK,F,alexandra83@adventure-works.com,63.6042
17606,WARREN,SHARMA,M,warren40@adventure-works.com,63.6042
2190,BOBBY,SAI,M,bobby4@adventure-works.com,63.6042
2178,BLAKE,YOUNG,M,blake26@adventure-works.com,63.6042
18005,ZOE,MORGAN,F,zoe21@adventure-works.com,63.6042
9603,JOSHUA,ANDERSON,M,joshua11@adventure-works.com,63.6042
4087,COLLEEN,LU,F,colleen11@adventure-works.com,63.6042
380,ALEJANDRO,LIANG,M,alejandro20@adventure-works.com,63.6042
11857,MACKENZIE,HERNANDEZ,F,mackenzie39@adventure-works.com,63.6042
15959,SHANNON,MUNOZ,M,shannon28@adventure-works.com,63.6042
12190,MARGARET,SHE,F,margaret28@adventure-works.com,63.6042
12545,MASON,HOWARD,M,mason11@adventure-works.com,63.6042
12939,MEREDITH,GILL,F,meredith37@adventure-works.com,63.6042
16508,SYDNEY,KELLY,F,sydney21@adventure-works.com,63.6042
13523,NATALIE,HOWARD,F,natalie14@adventure-works.com,63.5942
9645,JOY,HERNANDEZ,F,joy4@adventure-works.com,63.510000000000005
4001,COLE,BAILEY,M,cole16@adventure-works.com,63.459999999999994
2286,BRANDI,VAZQUEZ,F,brandi14@adventure-works.com,63.459999999999994
11117,LANCE,MUNOZ,M,lance7@adventure-works.com,63.459999999999994
14183,PAMELA,SCHMIDT,F,pamela13@adventure-works.com,63.459999999999994
10437,KAYLA,WALKER,F,kayla22@adventure-works.com,63.459999999999994
12279,MARIAH,HUGHES,F,mariah16@adventure-works.com,63.35
5868,EMMA,JOHNSON,F,emma0@adventure-works.com,63.2142
1448,ANNE,GOMEZ,F,anne2@adventure-works.com,63.2142
4417,DALTON,GRAY,M,dalton76@adventure-works.com,63.17
3112,CAROL,RUBIO,F,carol12@adventure-works.com,63.0373
3014,CARLOS,BAILEY,M,carlos18@adventure-works.com,63.0373
17359,TYRONE,VAZQUEZ,M,tyrone13@adventure-works.com,62.97
10047,KAREN,GUO,F,karen27@adventure-works.com,62.97
12364,MARIO,XU,M,mario4@adventure-works.com,62.97
9530,JOSE,GREEN,M,jose49@adventure-works.com,62.97
14685,REBEKAH,CARLSON,F,rebekah38@adventure-works.com,62.97
6379,FRANCIS,GUTIERREZ,M,francis8@adventure-works.com,62.97
14301,PETER,KUMAR,M,peter14@adventure-works.com,62.97
5973,ERIC,YANG,M,eric35@adventure-works.com,62.97
17004,TIFFANY,LU,F,tiffany11@adventure-works.com,62.96
15348,RUSSELL,ANDERSEN,M,russell15@adventure-works.com,62.96
2583,BRITTANY,FOSTER,F,brittany14@adventure-works.com,62.96
2578,BRITTANY,BRYANT,F,brittany16@adventure-works.com,62.95
9130,JOE,CARLSON,M,joe42@adventure-works.com,62.9026
430,ALEX,JAMES,M,alex11@adventure-works.com,62.87
14342,PHILLIP,FERNANDEZ,M,phillip17@adventure-works.com,62.6342
7401,IAN,ADAMS,M,ian30@adventure-works.com,62.6342
4652,DARREN,MADAN,M,darren10@adventure-works.com,62.6342
5725,ELIJAH,LAL,M,elijah3@adventure-works.com,62.559999999999995
666,ALEXIS,HUGHES,F,alexis34@adventure-works.com,62.559999999999995
17850,XAVIER,CARTER,M,xavier33@adventure-works.com,62.55
9250,JOHNNY,SHEN,M,johnny3@adventure-works.com,62.54
8312,JARROD,WEBER,M,jarrod4@adventure-works.com,62.54
16661,TANYA,CARLSON,F,tanya15@adventure-works.com,62.54
9172,JOEL,JORDAN,M,joel0@adventure-works.com,62.54
11093,LACEY,WU,F,lacey19@adventure-works.com,62.54
2601,BRITTNEY,HOLT,F,brittney4@adventure-works.com,62.54
15125,ROGER,LIU,M,roger8@adventure-works.com,62.54
13506,NATALIE,COOPER,F,natalie11@adventure-works.com,62.54
444,ALEX,REED,M,alex24@adventure-works.com,62.54
15258,ROSS,SURI,M,ross0@adventure-works.com,62.54
7169,HANNAH,BROWN,F,hannah5@adventure-works.com,62.54
725,ALICIA,PAL,F,alicia10@adventure-works.com,62.54
14847,RICHARD,JOHNSTON,M,richard62@adventure-works.com,62.54
7085,HAILEY,PETERSON,F,hailey14@adventure-works.com,62.54
16337,STEPHANIE,ROSS,F,stephanie31@adventure-works.com,62.54
689,ALEXIS,WASHINGTON,F,alexis36@adventure-works.com,62.53
6542,GABRIEL,WANG,M,gabriel21@adventure-works.com,62.53
5758,ELIZABETH,DIAZ,F,elizabeth50@adventure-works.com,62.518100000000004
4571,DANIELLE,COOPER,F,danielle20@adventure-works.com,62.51
2281,BRANDI,RUBIO,F,brandi20@adventure-works.com,62.269999999999996
8143,JAMES,ROBINSON,M,james91@adventure-works.com,62.269999999999996
16186,SPENCER,JENKINS,M,spencer8@adventure-works.com,62.269999999999996
7958,JACQUELYN,RAMOS,F,jacquelyn18@adventure-works.com,62.269999999999996
545,ALEXANDRA,MILLER,F,alexandra69@adventure-works.com,62.269999999999996
1162,ANDREA,PEREZ,F,andrea34@adventure-works.com,62.269999999999996
16846,TERRENCE,SHAN,M,terrence10@adventure-works.com,62.269999999999996
16811,TERRANCE,CHANDRA,M,terrance2@adventure-works.com,62.269999999999996
14400,PRISCILLA,SHE,F,priscilla0@adventure-works.com,62.2584
9195,JOHN,JOHNSON,M,john38@adventure-works.com,62.2584
1528,ARIANA,BROOKS,F,ariana1@adventure-works.com,62.2584
6448,FRANKLIN,JAI,M,franklin29@adventure-works.com,62.2584
12112,MARCUS,HALL,M,marcus25@adventure-works.com,62.2584
4248,CRISTINA,CHANDE,F,cristina13@adventure-works.com,62.2584
1941,BARBARA,YE,F,barbara19@adventure-works.com,62.2584
10670,KENDRA,CARLSON,F,kendra18@adventure-works.com,62.25
5369,DYLAN,CHEN,M,dylan25@adventure-works.com,62.1823
4031,COLIN,DENG,M,colin24@adventure-works.com,62.150000000000006
11013,KYLE,BUTLER,M,kyle9@adventure-works.com,62.15
13753,NICHOLAS,ROBINSON,M,nicholas19@adventure-works.com,62.120000000000005
6179,EUGENE,ZHANG,M,eugene4@adventure-works.com,62.0762
8348,JASMINE,PRICE,F,jasmine41@adventure-works.com,62.0662
4271,CRYSTAL,HU,F,crystal21@adventure-works.com,62.0662
16876,THEODORE,CARLSON,M,theodore19@adventure-works.com,61.97
15507,SAMUEL,BROWN,M,samuel62@adventure-works.com,61.97
1455,ANNE,NAVARRO,F,anne11@adventure-works.com,61.97
10110,KARI,SURI,F,kari2@adventure-works.com,61.97
11198,LAURA,GAO,F,laura20@adventure-works.com,61.94
11767,LUIS,YOUNG,M,luis49@adventure-works.com,61.94
693,ALEXIS,WOOD,F,alexis24@adventure-works.com,61.94
15700,SAVANNAH,COX,F,savannah9@adventure-works.com,61.94
1855,AUTUMN,LU,F,autumn10@adventure-works.com,61.94
14668,REBECCA,HILL,F,rebecca23@adventure-works.com,61.94
153,ADAM,COLLINS,M,adam32@adventure-works.com,61.94
11501,LOGAN,ANDERSON,M,logan61@adventure-works.com,61.94
13934,NOAH,LOPEZ,M,noah53@adventure-works.com,61.94
8276,JARED,MORRIS,M,jared20@adventure-works.com,61.94
16114,SHELBY,MORRIS,F,shelby18@adventure-works.com,61.94
5605,EDWARD,GRIFFIN,M,edward69@adventure-works.com,61.94
3144,CAROLYN,ALVAREZ,F,carolyn26@adventure-works.com,61.94
12280,MARIAH,JAMES,F,mariah32@adventure-works.com,61.94
1842,AUSTIN,WHITE,M,austin48@adventure-works.com,61.8584
3394,CEDRIC,YUAN,M,cedric28@adventure-works.com,61.830000000000005
12897,MELODY,MARTIN,F,melody0@adventure-works.com,61.6042
12417,MARSHALL,WANG,M,marshall0@adventure-works.com,61.6042
2119,BLAKE,CAMPBELL,M,blake43@adventure-works.com,61.6042
3007,CARLA,SANCHEZ,F,carla23@adventure-works.com,61.248400000000004
2168,BLAKE,SIMMONS,M,blake63@adventure-works.com,61.248400000000004
9990,KAITLYN,MILLER,F,kaitlyn28@adventure-works.com,61.248400000000004
1905,BAILEY,TORRES,F,bailey10@adventure-works.com,61.248400000000004
8996,JILLIAN,ARTHUR,F,jillian7@adventure-works.com,61.248400000000004
17612,WARREN,XIE,M,warren38@adventure-works.com,61.248400000000004
8655,JENNY,ZIMMERMAN,F,jenny30@adventure-works.com,61.248400000000004
6581,GABRIELLA,RAMIREZ,F,gabriella4@adventure-works.com,61.248400000000004
17874,XAVIER,HILL,M,xavier26@adventure-works.com,61.17
859,ALLISON,ROGERS,F,allison19@adventure-works.com,61.169999999999995
7641,ISABELLA,WILLIAMS,F,isabella59@adventure-works.com,61.06
6255,FAITH,BRYANT,F,faith17@adventure-works.com,61.03
9314,JONATHAN,EDWARDS,M,jonathan31@adventure-works.com,60.95
12844,MELINDA,VAZQUEZ,F,melinda10@adventure-works.com,60.9126
5677,EDWIN,RAJE,M,edwin36@adventure-works.com,60.9126
16636,TAMER,SALAH,F,tamer0@adventure-works.com,60.9126
4507,DAMIEN,SHEN,M,damien19@adventure-works.com,60.9126
16679,TARA,BLACK,F,tara21@adventure-works.com,60.9126
14841,RICHARD,HILL,M,richard24@adventure-works.com,60.9126
10962,KRISTY,VAZQUEZ,F,kristy13@adventure-works.com,60.9126
902,ALVIN,WANG,M,alvin2@adventure-works.com,60.9126
17489,VICTORIA,PATTERSON,F,victoria58@adventure-works.com,60.9126
14528,RAFAEL,WANG,M,rafael1@adventure-works.com,60.9126
14920,RICKY,TORRES,M,ricky12@adventure-works.com,60.9126
3001,CARLA,PATEL,F,carla6@adventure-works.com,60.9126
6002,ERICK,KAPOOR,M,erick1@adventure-works.com,60.9126
15113,ROGER,CHEN,M,roger7@adventure-works.com,60.9126
11613,LOUIS,WANG,M,louis39@adventure-works.com,60.9126
9902,JÉSUS,GUTIERREZ,M,jésus10@adventure-works.com,60.8842
11550,LOGAN,ROBERTS,M,logan30@adventure-works.com,60.882600000000004
17758,WILLIE,WANG,M,willie2@adventure-works.com,60.882600000000004
165,ADAM,HERNANDEZ,M,adam47@adventure-works.com,60.88
14224,PATRICK,STEWART,M,patrick27@adventure-works.com,60.88
17554,VIRGINIA,RODRIGUEZ,F,virginia22@adventure-works.com,60.88
5788,ELIZABETH,THOMPSON,F,elizabeth19@adventure-works.com,60.88
8925,JESSICA,WOOD,F,jessica26@adventure-works.com,60.88
11304,LAWRENCE,TORRES,M,lawrence10@adventure-works.com,60.81
13142,MIGUEL,HENDERSON,M,miguel51@adventure-works.com,60.5842
1042,AMANDA,WATSON,F,amanda18@adventure-works.com,60.5842
5107,DEVIN,ROSS,M,devin69@adventure-works.com,60.4981
1749,ASHLEY,LEWIS,F,ashley22@adventure-works.com,60.4942
1609,ARMANDO,RUBIO,M,armando21@adventure-works.com,60.47
7053,HAILEY,CARTER,F,hailey51@adventure-works.com,60.45
2510,BRIANNA,HUGHES,F,brianna57@adventure-works.com,60.42
10424,KAYLA,MARTINEZ,F,kayla18@adventure-works.com,60.269999999999996
3469,CHARLES,KELLY,M,charles49@adventure-works.com,60.269999999999996
7039,GREGORY,XU,M,gregory9@adventure-works.com,60.2684
2979,CARL,LUO,M,carl5@adventure-works.com,60.2684
425,ALEX,GRAY,M,alex9@adventure-works.com,60.2684
8230,JANELLE,SAI,F,janelle5@adventure-works.com,60.2684
10309,KATHERINE,WHITE,F,katherine83@adventure-works.com,60.2684
132,ABIGAIL,SANCHEZ,F,abigail3@adventure-works.com,60.2684
11263,LAUREN,RAMIREZ,F,lauren17@adventure-works.com,60.2684
7583,ISABELLA,GONZALEZ,F,isabella48@adventure-works.com,60.2684
14699,REBEKAH,MALHOTRA,F,rebekah5@adventure-works.com,60.2684
1251,ANGEL,COX,M,angel10@adventure-works.com,60.2684
13765,NICHOLE,CHANDER,F,nichole15@adventure-works.com,60.2684
871,ALVIN,ANAND,M,alvin43@adventure-works.com,60.2684
5292,DOUGLAS,SANCHEZ,M,douglas24@adventure-works.com,60.2684
12682,MEAGAN,MEHTA,F,meagan14@adventure-works.com,60.2684
13661,NATHAN,SIMMONS,M,nathan11@adventure-works.com,60.2684
15212,ROSA,SUN,F,rosa13@adventure-works.com,60.2584
16668,TANYA,NAVARRO,F,tanya6@adventure-works.com,60.2584
12543,MASON,HERNANDEZ,M,mason41@adventure-works.com,60.2584
6030,ERIK,MUNOZ,M,erik8@adventure-works.com,60.25
11811,LUKE,SIMMONS,M,luke4@adventure-works.com,60.25
13583,NATASHA,DIAZ,F,natasha3@adventure-works.com,60.25
17746,WILLIE,MA,M,willie14@adventure-works.com,60.25
17890,XAVIER,MURPHY,M,xavier82@adventure-works.com,60.0373
5715,ELIJAH,HALL,M,elijah48@adventure-works.com,59.980000000000004
2131,BLAKE,GONZALEZ,M,blake35@adventure-works.com,59.980000000000004
12802,MELANIE,JENKINS,F,melanie22@adventure-works.com,59.980000000000004
8731,JEREMY,RAMIREZ,M,jeremy36@adventure-works.com,59.980000000000004
9691,JUDITH,REED,F,judith5@adventure-works.com,59.980000000000004
7102,HAILEY,WASHINGTON,F,hailey33@adventure-works.com,59.980000000000004
6299,FELICIA,MUNOZ,F,felicia6@adventure-works.com,59.980000000000004
4130,CONNOR,GONZALES,M,connor11@adventure-works.com,59.980000000000004
13978,OLIVIA,CLARK,F,olivia18@adventure-works.com,59.98
7755,JACK,JENKINS,M,jack7@adventure-works.com,59.98
13977,OLIVIA,BRYANT,F,olivia63@adventure-works.com,59.98
8459,JAY,PEREZ,M,jay28@adventure-works.com,59.98
5703,ELIJAH,BUTLER,M,elijah18@adventure-works.com,59.98
9572,JOSE,WILLIAMS,M,jose58@adventure-works.com,59.98
12856,MELISSA,FLORES,F,melissa7@adventure-works.com,59.98
10841,KRISTI,MARTINEZ,F,kristi35@adventure-works.com,59.98
14235,PAULA,DIAZ,F,paula5@adventure-works.com,59.98
8819,JESSE,GONZALEZ,M,jesse33@adventure-works.com,59.98
12854,MELISSA,COX,F,melissa32@adventure-works.com,59.98
12851,MELISSA,COLEMAN,F,melissa23@adventure-works.com,59.98
7680,ISAIAH,GREEN,M,isaiah40@adventure-works.com,59.98
12130,MARCUS,MARTIN,M,marcus15@adventure-works.com,59.98
1414,ANNA,MORRIS,F,anna4@adventure-works.com,59.98
10274,KATHERINE,MOORE,F,katherine78@adventure-works.com,59.98
7559,ISABELLA,BAILEY,F,isabella90@adventure-works.com,59.98
17889,XAVIER,MORGAN,M,xavier80@adventure-works.com,59.98
9994,KAITLYN,MURPHY,F,kaitlyn53@adventure-works.com,59.98
16393,STEVEN,STEWART,M,steven32@adventure-works.com,59.98
199,ADRIAN,BROOKS,M,adrian3@adventure-works.com,59.98
5042,DEVIN,ADAMS,M,devin29@adventure-works.com,59.98
12134,MARCUS,MOORE,M,marcus8@adventure-works.com,59.98
6490,FREDERICK,SANCHEZ,M,frederick17@adventure-works.com,59.98
10843,KRISTI,MUNOZ,F,kristi3@adventure-works.com,59.98
3472,CHARLES,LEWIS,M,charles25@adventure-works.com,59.98
16728,TAYLOR,BELL,F,taylor7@adventure-works.com,59.98
11954,MAKAYLA,BLUE,F,makayla12@adventure-works.com,59.98
10049,KAREN,HU,F,karen29@adventure-works.com,59.98
16189,SPENCER,PERRY,M,spencer9@adventure-works.com,59.98
4731,DAVID,MOORE,M,david66@adventure-works.com,59.98
4586,DANIELLE,SANCHEZ,F,danielle27@adventure-works.com,59.98
1996,BENJAMIN,MARTIN,M,benjamin51@adventure-works.com,59.98
3719,CHRISTINA,GRAY,F,christina4@adventure-works.com,59.98
16904,THERESA,MORENO,F,theresa3@adventure-works.com,59.98
271,AIDAN,JENKINS,M,aidan7@adventure-works.com,59.98
5280,DOUGLAS,GONZALEZ,M,douglas22@adventure-works.com,59.98
969,ALYSSA,STEWART,F,alyssa24@adventure-works.com,59.98
1265,ANGEL,MORRIS,M,angel17@adventure-works.com,59.98
13822,NICOLE,GONZALES,F,nicole66@adventure-works.com,59.98
10951,KRISTY,JIMENEZ,F,kristy6@adventure-works.com,59.98
4394,DALTON,BAKER,M,dalton32@adventure-works.com,59.98
10530,KELLI,LIN,F,kelli8@adventure-works.com,59.98
89,ABIGAIL,FLORES,F,abigail37@adventure-works.com,59.98
5918,EMMANUEL,PRASAD,M,emmanuel9@adventure-works.com,59.98
3306,CASSIDY,HAYES,F,cassidy24@adventure-works.com,59.98
15779,SEAN,TORRES,M,sean11@adventure-works.com,59.98
5118,DEVIN,TURNER,M,devin37@adventure-works.com,59.98
16110,SHELBY,HOWARD,F,shelby12@adventure-works.com,59.98
1297,ANGELA,FOSTER,F,angela19@adventure-works.com,59.98
3379,CEDRIC,RAI,M,cedric36@adventure-works.com,59.98
470,ALEXA,REED,F,alexa19@adventure-works.com,59.98
1205,ANDREW,LEE,M,andrew29@adventure-works.com,59.98
8121,JAMES,JONES,M,james78@adventure-works.com,59.98
9299,JONATHAN,ALEXANDER,M,jonathan18@adventure-works.com,59.98
12486,MARVIN,RUBIO,M,marvin21@adventure-works.com,59.98
17963,ZACHARY,HENDERSON,M,zachary3@adventure-works.com,59.98
491,ALEXANDER,RODRIGUEZ,M,alexander8@adventure-works.com,59.98
9148,JOE,NAVARRO,M,joe33@adventure-works.com,59.98
10775,KIMBERLY,ROGERS,F,kimberly20@adventure-works.com,59.98
9379,JONATHON,MUNOZ,M,jonathon4@adventure-works.com,59.98
5343,DUSTIN,XU,M,dustin4@adventure-works.com,59.98
4328,CYNTHIA,SUBRAM,F,cynthia18@adventure-works.com,59.98
7735,JACK,BUTLER,M,jack14@adventure-works.com,59.96000000000001
13941,NOAH,PERRY,M,noah4@adventure-works.com,59.959999999999994
8551,JENNIFER,GONZALEZ,F,jennifer20@adventure-works.com,59.959999999999994
985,AMANDA,BENNETT,F,amanda22@adventure-works.com,59.959999999999994
16262,STANLEY,SRINI,M,stanley9@adventure-works.com,59.959999999999994
673,ALEXIS,MARTINEZ,F,alexis14@adventure-works.com,59.959999999999994
17710,WILLIAM,JOHNSON,M,william17@adventure-works.com,59.959999999999994
7877,JACLYN,ZHU,F,jaclyn15@adventure-works.com,59.959999999999994
6291,FELICIA,DIAZ,F,felicia3@adventure-works.com,59.959999999999994
12671,MAYRA,SCHMIDT,F,mayra10@adventure-works.com,59.959999999999994
15633,SARA,ROBERTS,F,sara30@adventure-works.com,59.959999999999994
